ID1,text,medialink,Sentiment
4,#onewithnature #gardenofeden #goodforthesoul,#https://www.instagram.com/p/xfKqUurDeN/#,Positive
5,Admiring the view in Gouna. @whaleburd thanks for the pic,#https://www.instagram.com/p/xsGHhoCfxy/#,Positive
7,JUMP! @whaleburd,#https://www.instagram.com/p/xqgRnjCf52/#,Positive
11,Day-off workout done! #training #garmin #polar #iphone #vsco #pink #blue #newbalance #nike #sweat #fit #coast #white #vivofit #weights #hair #hot #strava #nikerun #lumo #girl #livestrong #healthyliving #wet #SouthAfrica #morning #legs #beach,#https://www.instagram.com/p/xdt5dqHzQy/#,Positive
13,"36/365
'If I had a heart I could love you
If i had a voice I could sing.
After the night when I wake up
I'll see what tomorrow brings.' -Fever Ray-",#https://www.instagram.com/p/yujWDvp4uE/#,Positive
16,"Welcome To The Jungle, Part 2.",#https://www.instagram.com/p/ysQBgxAx_x/#,Positive
20,The most beautiful place I've ever been to  #foreversouthafrica,#https://www.instagram.com/p/z73R1zh54d/#,Positive
21,Road tripping with the best ?? ???? #iloveyou,#https://www.instagram.com/p/0GAloImZdn/#,Positive
24,"Kaaimansgat
What stunning views!",#https://www.instagram.com/p/z7Ji2RlKD5/#,Positive
25,Visual diary of Tsitsikamma trip. Day 2 Trekking along the Otter Trail today and being inspired by nature. #mountain #clouds #roadtrip #holiday #instagram #landscape #southafrica #easterncape #cape #trip #tsitsikamma #river #moss #tree,#https://www.instagram.com/p/1N9OQ7RviT/#,Positive
26,George Trip ???????? Map of Africa #mapofafrica #beautifulworld #southafrica #goinghome #roadtrip #friends #family #partytime #fees #festive #netliggies #onlylightness #neefs ??,#https://www.instagram.com/p/1THDsSCB7B/#,Positive
28,So good to be in Natures Valley with @foilcakes and his family . So beautiful here ??,#https://www.instagram.com/p/1V18pexoDd/#,Positive
32,"Don't know how I caught this little guy while on a hike, but he was nice enough to pose for some pictures.

#SouthAfrica #hiking #chameleon #knysna #travelphotography #gardenroute #wherecouldibenow #Nikond5300",#https://www.instagram.com/p/1Gp6kGLY5Q/#,Positive
33,When in the forest.. ?????? #nature #beauty,#https://www.instagram.com/p/1GJwnpHZ0t/#,Positive
35,#south-africa #nature #beauty #walk #forest,#https://www.instagram.com/p/1FqSvXMdfH/#,Positive
36,#forest #walk in awe of the #natural #beauty surrounding us,#https://www.instagram.com/p/1Fo8nLMddb/#,Positive
37,Always nice to be the first ones on the beach #6am,#https://www.instagram.com/p/1M6ftvlY-X/#,Positive
38,At the waterfall on the beautiful Otter Trail. What an awesome time @hugovosloo ------------------------------------------------ #southafrica #travel #tsitsikamma #travellingza #thisissouthafrica #meetsouthafrica #friends #ocean #waterfall #hiking #runni,#https://www.instagram.com/p/2WF4loEs_6/#,Positive
39,#Knysna #Forest was great today #Nature,#https://www.instagram.com/p/2Y29SUH7Gv/#,Positive
40,"Always looking down at all I see... .#thelyricgame 
I'm so thankful that I get to live here #Knysna",#https://www.instagram.com/p/2XnYXgnchx/#,Positive
41,"Listen

#knysna #knysnaforest #forest #trees #tree #pinetree #pine #pinecone #landscape #exploreeverything #exploretocreate #explore #lifeofadventure #adventures #walks #forestwalk #morning #morningwalks #light #pathway #letsgo #nature #foreststation #gr",#https://www.instagram.com/p/3nyjdej5OB/#,Positive
42,Beautiful old Montagu Pass near George ??,#https://www.instagram.com/p/3wIJWOHpMI/#,Positive
