,word,frequency
3109,elephant-safari,0.007984705353126407
3228,elephant-wildlife,0.003036437246963563
6186,safari-zebra,0.0028115159694107063
480,animal-elephant,0.002699055330634278
4422,hole-watering,0.0020242914979757085
3224,elephant-wild,0.0020242914979757085
776,baby-elephant,0.0020242914979757085
3033,elephant-nature,0.0019118308591992803
5579,nature-wildlife,0.0019118308591992803
548,animal-wildlife,0.001799370220422852
3178,elephant-today,0.0016869095816464238
2249,crossing-zebra,0.0016869095816464238
2618,drive-game,0.0015744489428699954
5544,nature-perfection,0.0015744489428699954
2369,day-elephant,0.0015744489428699954
1184,big-elephant,0.0015744489428699954
2878,elephant-family,0.0015744489428699954
3085,elephant-portelizabeth,0.0014619883040935672
6658,wildlife-zebra,0.0014619883040935672
5557,nature-shooter,0.001349527665317139
5550,nature-reserve,0.0012370670265407107
3937,gamedrive-safari,0.0011246063877642825
2990,elephant-lion,0.0011246063877642825
3252,elephant-zebra,0.0011246063877642825
527,animal-nature,0.0010121457489878543
5533,nature-naturelovers,0.0010121457489878543
3115,elephant-see,0.0010121457489878543
4679,instatravel-travel,0.0010121457489878543
3211,elephant-warthog,0.0010121457489878543
534,animal-safari,0.0010121457489878543
2005,close-elephant,0.0010121457489878543
4437,holiday-safari,0.000899685110211426
5537,nature-natureza,0.000899685110211426
2717,early-morning,0.000899685110211426
5821,pells-southafricathroughmyeyes,0.000899685110211426
3190,elephant-travel,0.000899685110211426
4641,instafame-instagod,0.000899685110211426
2996,elephant-love,0.000899685110211426
2418,day-safari,0.000899685110211426
2907,elephant-gamedrive,0.000899685110211426
4449,holiday-trip,0.000899685110211426
3160,elephant-sunset,0.000899685110211426
964,beautiful-elephant,0.0007872244714349977
843,back-elephant,0.0007872244714349977
2819,elefante-elephant,0.0007872244714349977
5967,pumba-warthog,0.0007872244714349977
2940,elephant-holiday,0.0007872244714349977
5558,nature-sky,0.0007872244714349977
762,baba-degro,0.0007872244714349977
813,babyelephant-elephant,0.0007872244714349977
959,beautiful-creature,0.0007872244714349977
3155,elephant-sudafrica,0.0007872244714349977
996,beautiful-pentax,0.0006747638326585695
5823,pentax-pentaxk,0.0006747638326585695
2995,elephant-lot,0.0006747638326585695
4569,ilovecapetown-nature,0.0006747638326585695
1651,bush-elephant,0.0006747638326585695
3101,elephant-road,0.0006747638326585695
3102,elephant-roadtrip,0.0006747638326585695
3111,elephant-sanparks,0.0006747638326585695
3775,fotography-ilovecapetown,0.0006747638326585695
556,animales-cute,0.0006747638326585695
6175,safari-wildlife,0.0006747638326585695
2286,cute-little,0.0006747638326585695
810,baby-zebra,0.0006747638326585695
43,adam-busha,0.0006747638326585695
3204,elephant-view,0.0006747638326585695
960,beautiful-day,0.0006747638326585695
993,beautiful-nature,0.0006747638326585695
3776,fotography-pentaxk,0.0006747638326585695
389,amazing-day,0.0006747638326585695
550,animal-zebra,0.0006747638326585695
5917,portelizabeth-travel,0.0006747638326585695
1588,buffalo-elephant,0.0006747638326585695
6157,safari-travel,0.0006747638326585695
2342,dafrika-trip,0.0006747638326585695
4048,giovanni-negy,0.0006747638326585695
2386,day-great,0.0006747638326585695
770,baby-bluesky,0.0006747638326585695
5907,portelizabeth-reserve,0.0006747638326585695
1627,bull-elephant,0.0006747638326585695
2006,close-encounter,0.0006747638326585695
3197,elephant-two,0.0006747638326585695
5592,naturelover-naturelovers,0.0006747638326585695
979,beautiful-holiday,0.0006747638326585695
5556,nature-seeker,0.0006747638326585695
5552,nature-safari,0.0006747638326585695
5593,naturelover-natureza,0.0006747638326585695
27,aca-adam,0.0006747638326585695
3156,elephant-summer,0.0006747638326585695
465,animal-big,0.0006747638326585695
5540,nature-outdoor,0.0006747638326585695
1050,beauty-nature,0.0005623031938821412
1833,car-elephant,0.0005623031938821412
6535,travel-trip,0.0005623031938821412
3215,elephant-waterhole,0.0005623031938821412
475,animal-cute,0.0005623031938821412
2240,crossing-elephant,0.0005623031938821412
4107,good-morning,0.0005623031938821412
3213,elephant-watching,0.0005623031938821412
2045,cloud-sky,0.0005623031938821412
6653,wildlife-wildlifephotography,0.0005623031938821412
547,animal-wild,0.0005623031938821412
2565,discover-wildlife,0.0005623031938821412
4433,holiday-nature,0.0005623031938821412
2564,discover-portelizabeth,0.0005623031938821412
5199,love-nature,0.0005623031938821412
4227,guy-little,0.0005623031938821412
6376,stripe-zebra,0.000449842555105713
3559,family-safari,0.000449842555105713
6152,safari-today,0.000449842555105713
774,baby-elefant,0.000449842555105713
6202,sanationalparks-wild,0.000449842555105713
773,baby-cute,0.000449842555105713
1400,bluesky-elephant,0.000449842555105713
4704,iphone-iphoneonly,0.000449842555105713
6552,travelgram-wanderlust,0.000449842555105713
2424,day-spent,0.000449842555105713
