,word,frequency
10536,safari,0.028704147837721846
8428,nature,0.015273535129130798
13815,wildlife,0.014503546994521724
3470,elephant,0.014339451162555856
490,animal,0.011133271061068895
7107,lion,0.010123450556663553
11959,sunset,0.009227234859003812
2850,day,0.00872232460680114
7284,love,0.00743480346368433
12724,travel,0.006765797379515791
13773,wild,0.00665219257277019
4607,giraffe,0.006475473984499255
1009,beautiful,0.006450228471889122
6925,leopard,0.005806467900330716
1223,big,0.005503521749009113
393,amazing,0.004973365984196309
8096,morning,0.004847138421145642
1773,bush,0.004645174320264573
14170,zebra,0.004607306051349373
10242,rhino,0.004493701244603771
5337,holiday,0.004417964706773371
10320,river,0.003534371765418697
3856,family,0.00348388074019843
12507,time,0.003408144202368029
11953,sunrise,0.0033955214460629625
12811,tree,0.0033324076645376284
3244,drive,0.0032819166393173614
11229,skukuza,0.0032819166393173614
11153,singita,0.0032061801014869606
7044,like,0.002928479462775492
12562,today,0.002903233950165358
1284,bird,0.002802251899724824
4425,game,0.0027517608745045567
13306,view,0.00273913811819949
120,adventure,0.002688647092979223
823,baby,0.002625533311453889
5282,hippo,0.0025624195299285553
1711,buffalo,0.002474060235793088
7010,life,0.002448814723182954
5064,happy,0.0024361919668778875
10344,road,0.002410946454267754
1234,bigfive,0.0023730781853525534
5705,impala,0.0023099644038272198
5527,hyena,0.002234227865996819
13508,wanderlust,0.002183736840776552
776,awesome,0.002120623059251218
9432,photo,0.0020448865214208176
8611,night,0.0020322637651157506
4742,good,0.0020070182525056173
10868,selfie,0.00199439549620055
10823,see,0.0019439044709802832
1136,best,0.0019060362020650828
1030,beauty,0.0019060362020650828
4312,friend,0.0019060362020650828
849,back,0.0018934134457600162
4426,gamedrive,0.0018176769079296154
10718,saw,0.0018050541516245488
7153,little,0.001792431395319482
9552,place,0.001792431395319482
6760,last,0.0017671858827093484
2165,cheetah,0.001729317613794148
1931,canon,0.0016914493448789477
8039,monkey,0.001678826588573881
11917,summer,0.0016662038322688142
1899,camp,0.0016535810759637475
4070,first,0.0016409583196586807
4875,great,0.0016030900507434803
6731,landscape,0.0015904672944384137
8626,nikon,0.0015778445381333468
8338,n,0.0015778445381333468
4556,get,0.00156522178182828
2318,close,0.0015525990255232133
2668,crossing,0.0015525990255232133
171,africanamazing,0.0015399762692181464
9453,photography,0.0014894852439978794
13578,way,0.0014768624876928126
4374,fun,0.0014768624876928126
11249,sky,0.0014768624876928126
13827,wildlifephotography,0.0014768624876928126
3020,die,0.001451616975082679
11929,sun,0.001451616975082679
5916,instatravel,0.0014263714624725456
1601,breakfast,0.0014137487061674787
9364,perfection,0.001401125949862412
13119,vacation,0.001401125949862412
12831,trip,0.001401125949862412
8390,natgeo,0.0013885031935573452
5385,honeymoon,0.0013758804372522783
8542,new,0.0013632576809472117
6436,king,0.0013632576809472117
4976,guy,0.0013506349246421448
546,another,0.0013506349246421448
11618,spotted,0.0013380121683370782
4170,follow,0.0013380121683370782
8168,mpumalanga,0.0013127666557269445
10666,satara,0.0013001438994218778
11102,sighting,0.001287521143116811
13860,wildtuin,0.001287521143116811
12746,traveler,0.0012622756305066775
13978,world,0.0012622756305066775
2718,cute,0.001237030117896544
5853,instadaily,0.001224407361591477
7111,lioness,0.0012117846052864104
7242,look,0.0012117846052864104
8453,naturelovers,0.0011991618489813436
6625,krugerthroughmyeyes,0.00117391633637121
9476,pic,0.0011612935800661432
2871,de,0.0011486708237610766
1966,capture,0.0011486708237610766
10286,right,0.0011360480674560097
5358,home,0.0011360480674560097
10354,roadtrip,0.0011360480674560097
7206,lodge,0.0011360480674560097
10643,sanparks,0.0011360480674560097
9667,portrait,0.0011108025548458762
2028,cat,0.0011108025548458762
12753,travelgram,0.0011108025548458762
13550,water,0.0011108025548458762
13614,weekend,0.0010981797985408093
6686,l,0.0010855570422357427
13725,white,0.0010855570422357427
3321,early,0.0010729342859306758
9967,r,0.0010729342859306758
250,afternoon,0.0010729342859306758
11615,spot,0.0010476887733205423
7419,lunch,0.0010476887733205423
3122,dog,0.0010476887733205423
7399,lucky,0.0010350660170154755
8929,olifants,0.0010350660170154755
6962,letaba,0.0010350660170154755
12951,two,0.001009820504405342
2690,cub,0.001009820504405342
3315,e,0.001009820504405342
815,baboon,0.001009820504405342
