,word,frequency
7239,bouldersbeach-penguin,0.0034469712892513348
4235,beach-boulder,0.0030686451721383835
4448,beach-penguin,0.002564210349321115
9030,capepoint-lighthouse,0.00248013787885157
21114,head-lion,0.0023330110555298666
27970,mountain-table,0.002269956702677708
2838,atlantic-ocean,0.0021018117617386187
7010,boulder-penguin,0.0019757030560343014
10469,chapman-peak,0.001912648703182143
22929,indian-ocean,0.0017655218798604396
27209,meet-ocean,0.0015133044684518054
2825,atlantic-indian,0.001134978351338854
8948,capepoint-ilovecapetown,0.001113960233721468
29216,ocean-two,0.0008617428223128337
6681,boa-esperan,0.0008407247046954474
9128,capepoint-nature,0.0008197065870780613
8151,cabo-da,0.0008197065870780613
9152,capepoint-ocean,0.0008197065870780613
15695,end-world,0.0008197065870780613
6680,boa-da,0.0008197065870780613
8880,capepoint-good,0.0008197065870780613
32647,southern-tip,0.0007986884694606751
9719,capetownliving-carefree,0.0007986884694606751
3464,baboon-capepoint,0.0007566522342259027
7276,bouldersbeach-simonstown,0.0007566522342259027
1664,amazing-view,0.0007356341166085166
5043,beautiful-view,0.0007146159989911303
26235,love-penguin,0.0007146159989911303
33743,top-world,0.0006935978813737442
33820,travel-travelgram,0.0006515616461389718
12976,cute-penguin,0.0006515616461389718
5259,beauty-nature,0.0006305435285215856
30071,penguin-simonstown,0.0006305435285215856
9502,capepoint-view,0.0006305435285215856
29151,ocean-sea,0.0006095254109041994
29223,ocean-view,0.0006095254109041994
4252,beach-capepoint,0.0006095254109041994
18035,foot-happy,0.0005885072932868132
9463,capepoint-travel,0.0005885072932868132
4800,beautiful-day,0.000567489175669427
9293,capepoint-sea,0.000567489175669427
32996,summer-sun,0.0005464710580520409
4290,beach-day,0.0005464710580520409
31848,sea-sky,0.0005254529404346547
8818,capepoint-family,0.0005254529404346547
4236,beach-bouldersbeach,0.0005254529404346547
25680,lionshead-tablemountain,0.0005044348228172685
4141,bay-hout,0.0005044348228172685
27935,mountain-sea,0.0004834167051998823
2834,atlantic-meet,0.0004834167051998823
2943,atlanticocean-indianocean,0.0004834167051998823
8750,capepoint-day,0.0004623985875824961
32992,suidafrika-travel,0.0004623985875824961
855,afriquedusud-zuidafrika,0.0004623985875824961
850,afriquedusud-sydafrika,0.0004623985875824961
24142,kaap-travel,0.0004623985875824961
33291,table-top,0.0004623985875824961
4435,beach-ocean,0.0004623985875824961
4946,beautiful-place,0.0004623985875824961
793,afrika-voyage,0.0004623985875824961
21494,hike-lionshead,0.0004623985875824961
745,afrika-afrique,0.0004623985875824961
13172,dafrika-suidafrika,0.0004623985875824961
13173,dafrika-sydafrika,0.0004623985875824961
31236,reisen-resor,0.0004623985875824961
31238,reisen-zuidafrika,0.0004623985875824961
31294,resor-voyage,0.0004623985875824961
8640,capepeninsula-capepoint,0.0004623985875824961
30225,penguin-wild,0.0004413804699651099
18517,friend-new,0.0004413804699651099
16865,family-ilovecapetown,0.0004413804699651099
27900,mountain-ocean,0.0004413804699651099
1446,amazing-capepoint,0.0004413804699651099
12321,continent-western,0.0004203623523477237
4922,beautiful-nature,0.0004203623523477237
14921,drive-peak,0.0004203623523477237
11985,colony-penguin,0.0004203623523477237
10558,chapmanspeak-houtbay,0.0004203623523477237
13520,day-last,0.0004203623523477237
835,afrique-rafrika,0.00039934423473033753
28402,nature-ocean,0.00039934423473033753
16534,explorer-shark,0.00039934423473033753
15355,edge-world,0.00037832611711295134
22252,house-light,0.00037832611711295134
33836,travel-trip,0.00037832611711295134
7084,boulderbeach-penguin,0.00037832611711295134
3442,baboon-baby,0.00037832611711295134
22926,indian-meet,0.00037832611711295134
19694,good-lighthouse,0.00035730799949556516
31422,road-trip,0.00035730799949556516
27972,mountain-tablemountain,0.00035730799949556516
2925,atlanticocean-capepoint,0.00035730799949556516
33856,travel-wanderlust,0.00035730799949556516
33148,sunset-tablemountain,0.00035730799949556516
19724,good-morning,0.00035730799949556516
25369,lighthouse-view,0.00035730799949556516
4525,beach-summer,0.00035730799949556516
8989,capepoint-june,0.00035730799949556516
4928,beautiful-ocean,0.00033628988187817897
9556,capepoint-world,0.00033628988187817897
12309,continent-tip,0.00033628988187817897
30153,penguin-today,0.00033628988187817897
4212,beach-beautiful,0.00033628988187817897
20537,guy-little,0.00033628988187817897
435,adventure-travel,0.00033628988187817897
33821,travel-traveling,0.00033628988187817897
9445,capepoint-tip,0.0003152717642607928
1467,amazing-day,0.0003152717642607928
28440,nature-reserve,0.0003152717642607928
30163,penguin-travel,0.0003152717642607928
28506,nature-view,0.0003152717642607928
13591,day-perfect,0.0003152717642607928
25772,little-penguin,0.0003152717642607928
4502,beach-simonstown,0.0003152717642607928
26019,long-way,0.0003152717642607928
4526,beach-sun,0.0003152717642607928
30055,penguin-selfie,0.0003152717642607928
25673,lionshead-sunset,0.0002942536466434066
2957,atlanticocean-ocean,0.0002942536466434066
22583,igerscapetown-igerssouthafrica,0.0002942536466434066
4766,beautiful-capepoint,0.0002942536466434066
28493,nature-travel,0.0002942536466434066
25686,lionshead-top,0.0002942536466434066
325,adventure-explore,0.0002942536466434066
9480,capepoint-twooceans,0.0002942536466434066
28000,mountain-view,0.00027323552902602045
28462,nature-sky,0.00027323552902602045
21513,hike-morning,0.00027323552902602045
8710,capepoint-cityofcapetown,0.00027323552902602045
5597,best-friend,0.00027323552902602045
28452,nature-sea,0.00027323552902602045
19907,good-view,0.00027323552902602045
6536,blue-ocean,0.00027323552902602045
33733,top-view,0.00027323552902602045
33329,tablemountain-top,0.00027323552902602045
8883,capepoint-goodhope,0.00027323552902602045
18925,g-neyafrikadankocamansevgiler,0.00027323552902602045
6916,boulder-bouldersbeach,0.00027323552902602045
23488,instatravel-travel,0.00027323552902602045
31858,sea-sun,0.00027323552902602045
1422,amazing-beautiful,0.00027323552902602045
32429,sky-sun,0.00025221741140863427
