,word,frequency
475,baboon-capepoint,0.0027095026127346624
4044,penguin-wild,0.0025159667118250435
1029,bouldersbeach-penguin,0.002322430810915425
1038,bout-du,0.002128894910005806
1458,chapman-peak,0.0017418231081865686
691,beach-boulder,0.00154828720727695
568,baboon-wild,0.0013547513063673312
3834,nature-wild,0.0013547513063673312
718,beach-penguin,0.0013547513063673312
1033,bouldersbeach-simonstown,0.0013547513063673312
4217,road-tripping,0.0013547513063673312
1918,day-spent,0.0011612154054577125
2879,head-lion,0.0011612154054577125
640,bad-view,0.0011612154054577125
2131,du-monde,0.0011612154054577125
3778,mountain-table,0.0011612154054577125
3965,ostrich-wild,0.0011612154054577125
365,atlantic-ocean,0.0009676795045480937
540,baboon-road,0.0009676795045480937
997,bottom-world,0.0009676795045480937
2025,die-kaap,0.0009676795045480937
1335,capetownliving-carefree,0.0009676795045480937
2845,hanging-penguin,0.0009676795045480937
2715,goeie-hoop,0.000774143603638475
2338,explorer-shark,0.000774143603638475
546,baboon-selfie,0.000774143603638475
2023,die-goeie,0.000774143603638475
521,baboon-monkey,0.000774143603638475
1889,day-great,0.000774143603638475
3109,indian-ocean,0.000774143603638475
2652,get-never,0.000774143603638475
2569,found-get,0.000774143603638475
3727,moment-stealing,0.0005806077027288562
478,baboon-chacma,0.0005806077027288562
246,animal-baboon,0.0005806077027288562
2479,fire-lost,0.0005806077027288562
1039,bout-le,0.0005806077027288562
91,afrique-l,0.0005806077027288562
2837,hanging-little,0.0005806077027288562
94,afternoon-capepoint,0.0005806077027288562
2237,endemic-indigenous,0.0005806077027288562
3919,ocean-two,0.0005806077027288562
4017,penguin-selfie,0.0005806077027288562
676,bay-hout,0.0005806077027288562
635,bad-spot,0.0005806077027288562
4439,storm-warning,0.0005806077027288562
1898,day-last,0.0005806077027288562
1703,continent-western,0.0005806077027288562
1936,de-l,0.0005806077027288562
544,baboon-say,0.0005806077027288562
4519,today-went,0.0005806077027288562
570,baboon-wildlife,0.0005806077027288562
464,baboon-baby,0.0005806077027288562
2852,hanging-tablemountain,0.0005806077027288562
955,boa-da,0.0005806077027288562
956,boa-esperan,0.0005806077027288562
2498,first-time,0.0005806077027288562
564,baboon-travelgram,0.0005806077027288562
167,already-missing,0.0005806077027288562
3293,last-night,0.0005806077027288562
3602,mandela-nelson,0.0005806077027288562
2105,dp-sigma,0.0005806077027288562
1221,capepoint-cityofcapetown,0.0005806077027288562
363,atlantic-current,0.0005806077027288562
1289,capepoint-shipwreck,0.0005806077027288562
1340,capetownliving-tweetcapetown,0.0005806077027288562
3592,mako-shark,0.0005806077027288562
4212,road-side,0.0005806077027288562
2755,great-people,0.0005806077027288562
3504,lost-thing,0.0005806077027288562
1139,cabo-da,0.0005806077027288562
3968,outdoors-tablemountain,0.0003870718018192375
4294,see-world,0.0003870718018192375
632,bad-scenery,0.0003870718018192375
4291,see-soon,0.0003870718018192375
1895,day-incredible,0.0003870718018192375
4290,see-smaller,0.0003870718018192375
4068,photo-taking,0.0003870718018192375
613,backtothemotherland-pattarunningteam,0.0003870718018192375
359,athlete-redbulllionheart,0.0003870718018192375
362,atlantic-cold,0.0003870718018192375
600,back-way,0.0003870718018192375
717,beach-party,0.0003870718018192375
1925,day-view,0.0003870718018192375
596,back-take,0.0003870718018192375
4283,sea-two,0.0003870718018192375
370,atlanticocean-drinking,0.0003870718018192375
593,back-send,0.0003870718018192375
4281,scuba-specie,0.0003870718018192375
586,back-ny,0.0003870718018192375
4324,shark-smaller,0.0003870718018192375
2870,hashtag-wow,0.0003870718018192375
351,ash-scatter,0.0003870718018192375
3993,past-thing,0.0003870718018192375
641,bad-way,0.0003870718018192375
723,beach-secluded,0.0003870718018192375
697,beach-diaz,0.0003870718018192375
692,beach-bouldersbeach,0.0003870718018192375
327,around-tripping,0.0003870718018192375
2136,dude-today,0.0003870718018192375
690,beach-bnw,0.0003870718018192375
2687,give-never,0.0003870718018192375
1824,cuties-hanging,0.0003870718018192375
1849,damn-lie,0.0003870718018192375
4014,penguin-running,0.0003870718018192375
4018,penguin-selfies,0.0003870718018192375
2919,hi-say,0.0003870718018192375
2134,dude-little,0.0003870718018192375
730,beach-streetphotography,0.0003870718018192375
2938,hike-lion,0.0003870718018192375
1863,dangerous-yes,0.0003870718018192375
4028,penguin-strut,0.0003870718018192375
4029,penguin-swag,0.0003870718018192375
4280,scuba-scubadi,0.0003870718018192375
4034,penguin-travel,0.0003870718018192375
2124,drive-peak,0.0003870718018192375
349,ash-moment,0.0003870718018192375
4117,pose-strike,0.0003870718018192375
1939,de-pointe,0.0003870718018192375
2819,halfway-kasteelspoort,0.0003870718018192375
424,awesome-boy,0.0003870718018192375
2757,great-pose,0.0003870718018192375
1812,current-splattering,0.0003870718018192375
438,awesome-shot,0.0003870718018192375
4154,quite-surgy,0.0003870718018192375
516,baboon-macaco,0.0003870718018192375
443,awkward-moment,0.0003870718018192375
513,baboon-lovecapetown,0.0003870718018192375
510,baboon-leave,0.0003870718018192375
2036,die-see,0.0003870718018192375
505,baboon-interrupted,0.0003870718018192375
374,atlanticocean-ostrich,0.0003870718018192375
2001,design-travel,0.0003870718018192375
2005,det-taste,0.0003870718018192375
2035,die-scatter,0.0003870718018192375
2006,detection-u,0.0003870718018192375
487,baboon-dangerous,0.0003870718018192375
2801,gypsy-u,0.0003870718018192375
484,baboon-country,0.0003870718018192375
2033,die-op,0.0003870718018192375
477,baboon-care,0.0003870718018192375
4193,remains-ww,0.0003870718018192375
2841,hanging-native,0.0003870718018192375
541,baboon-safari,0.0003870718018192375
4238,rolling-swell,0.0003870718018192375
2746,gotcha-yesoldsport,0.0003870718018192375
2029,die-made,0.0003870718018192375
2853,hanging-trailrunning,0.0003870718018192375
2720,going-thing,0.0003870718018192375
558,baboon-street,0.0003870718018192375
382,attacked-baboon,0.0003870718018192375
1959,deep-mad,0.0003870718018192375
553,baboon-spotting,0.0003870718018192375
551,baboon-sitting,0.0003870718018192375
2846,hanging-pt,0.0003870718018192375
2092,donkey-monkey,0.0003870718018192375
2091,donkey-like,0.0003870718018192375
549,baboon-side,0.0003870718018192375
4130,prettymarvellous-seabreeze,0.0003870718018192375
4131,prettymarvellous-splendidviews,0.0003870718018192375
393,au-bout,0.0003870718018192375
545,baboon-scat,0.0003870718018192375
2079,diver-spotted,0.0003870718018192375
2078,diver-see,0.0003870718018192375
408,avoid-detection,0.0003870718018192375
543,baboon-saw,0.0003870718018192375
410,avoid-pain,0.0003870718018192375
