,word,frequency
637,elephant,0.06471042471042471
1865,safari,0.03135135135135135
2511,zebra,0.016525096525096525
2438,wildlife,0.010965250965250965
522,day,0.007258687258687259
525,de,0.006795366795366796
1497,nature,0.006640926640926641
100,animal,0.006332046332046332
314,buffalo,0.006177606177606178
2232,travel,0.005714285714285714
1276,lion,0.005096525096525096
2377,warthog,0.005096525096525096
1728,portelizabeth,0.005096525096525096
2203,today,0.004942084942084942
717,family,0.004633204633204633
235,big,0.004478764478764479
1918,see,0.004478764478764479
1216,kudu,0.004324324324324324
2093,sudafrica,0.00416988416988417
836,gamedrive,0.003861003861003861
2428,wild,0.0037065637065637064
1831,roadtrip,0.003552123552123552
1218,l,0.003552123552123552
1442,morning,0.003552123552123552
89,amazing,0.003397683397683398
2193,time,0.003243243243243243
1685,phant,0.003088803088803089
430,close,0.003088803088803089
2290,unterwegs,0.003088803088803089
835,game,0.003088803088803089
176,back,0.003088803088803089
2484,www,0.0027799227799227798
581,drive,0.0027799227799227798
249,bird,0.0027799227799227798
1897,saw,0.0026254826254826255
2454,winterinafrica,0.0026254826254826255
1828,road,0.002471042471042471
644,elephantpark,0.002471042471042471
363,car,0.002471042471042471
1272,like,0.002471042471042471
1286,little,0.0023166023166023165
1886,sanparks,0.0023166023166023165
597,e,0.0023166023166023165
1759,pumba,0.0023166023166023165
487,crossing,0.002162162162162162
1117,instatravel,0.002162162162162162
2097,summer,0.002162162162162162
1004,hole,0.002162162162162162
1266,life,0.002162162162162162
2386,waterhole,0.002162162162162162
627,elefanten,0.002162162162162162
2387,watering,0.002007722007722008
912,great,0.002007722007722008
2094,suedafrika,0.002007722007722008
2276,um,0.002007722007722008
241,bigfive,0.002007722007722008
929,guy,0.002007722007722008
579,drink,0.0018532818532818532
325,bush,0.0018532818532818532
1477,n,0.0018532818532818532
196,beautiful,0.0018532818532818532
510,dafrika,0.0018532818532818532
1314,love,0.0018532818532818532
2326,view,0.001698841698841699
1803,reise,0.001698841698841699
1805,reiseblog,0.001698841698841699
768,first,0.001698841698841699
2237,travelgram,0.001698841698841699
1224,landschaft,0.001698841698841699
1539,nikon,0.001698841698841699
481,creature,0.001698841698841699
1302,long,0.001698841698841699
980,herd,0.001698841698841699
1804,reisebericht,0.001698841698841699
1775,r,0.001698841698841699
690,ever,0.001698841698841699
110,another,0.001698841698841699
2106,sunrise,0.0015444015444015444
651,ellie,0.0015444015444015444
1223,landscape,0.0015444015444015444
2252,trip,0.0015444015444015444
811,friend,0.0015444015444015444
1806,reisefotografie,0.0015444015444015444
1312,lot,0.0015444015444015444
895,gopro,0.0015444015444015444
1086,impressionen,0.0015444015444015444
1927,selfie,0.0015444015444015444
223,best,0.0015444015444015444
1303,look,0.0015444015444015444
421,cke,0.0013899613899613899
599,early,0.0013899613899613899
1524,never,0.0013899613899613899
129,around,0.0013899613899613899
2015,southafricathroughmyeyes,0.0013899613899613899
2289,unserer,0.0013899613899613899
617,eindruecke,0.0013899613899613899
626,elefante,0.0013899613899613899
6,abwechslung,0.0013899613899613899
869,get,0.0013899613899613899
1921,seen,0.0013899613899613899
1768,queerbeet,0.0013899613899613899
268,blog,0.0013899613899613899
616,eindr,0.0013899613899613899
1478,na,0.0013899613899613899
2217,tour,0.0013899613899613899
54,afrika,0.0013899613899613899
2491,year,0.0013899613899613899
511,dafrikatour,0.0013899613899613899
1689,photo,0.0013899613899613899
1682,petras,0.0013899613899613899
157,away,0.0012355212355212356
1362,many,0.0012355212355212356
1530,nice,0.0012355212355212356
1251,lekker,0.0012355212355212356
2304,van,0.0012355212355212356
1579,oh,0.0012355212355212356
1726,port,0.0012355212355212356
171,babyelephant,0.0012355212355212356
292,braai,0.0012355212355212356
1455,mr,0.0012355212355212356
697,experience,0.0012355212355212356
650,elizabeth,0.0012355212355212356
447,com,0.0012355212355212356
448,come,0.0012355212355212356
1958,sighting,0.0012355212355212356
418,cityofpe,0.0012355212355212356
2390,way,0.0012355212355212356
2370,wanderlust,0.0012355212355212356
58,afternoon,0.0012355212355212356
658,encounter,0.0012355212355212356
1131,iphone,0.001081081081081081
1145,jackal,0.001081081081081081
1333,lunch,0.001081081081081081
889,going,0.001081081081081081
2526,zuidafrika,0.001081081081081081
1458,mud,0.001081081081081081
169,baby,0.001081081081081081
1526,next,0.001081081081081081
42,africanamazing,0.001081081081081081
2101,sunday,0.001081081081081081
2167,thing,0.001081081081081081
1007,holiday,0.001081081081081081
1670,pells,0.001081081081081081
588,dumbo,0.001081081081081081
115,antelope,0.001081081081081081
2439,wildlifephotography,0.001081081081081081
1583,old,0.001081081081081081
2273,two,0.001081081081081081
166,baba,0.0009266409266409266
1766,que,0.0009266409266409266
1514,negy,0.0009266409266409266
1433,monkey,0.0009266409266409266
589,dune,0.0009266409266409266
296,braaitour,0.0009266409266409266
1816,rhino,0.0009266409266409266
2395,weekend,0.0009266409266409266
699,explore,0.0009266409266409266
1692,photography,0.0009266409266409266
1898,say,0.0009266409266409266
1776,rachwilliams,0.0009266409266409266
2229,trail,0.0009266409266409266
880,giovanni,0.0009266409266409266
1739,pra,0.0009266409266409266
1229,last,0.0009266409266409266
2188,tia,0.0009266409266409266
2495,yesterday,0.0009266409266409266
1347,mais,0.0009266409266409266
688,even,0.0009266409266409266
2220,tourist,0.0009266409266409266
630,elefantes,0.0009266409266409266
2178,throughmylens,0.0009266409266409266
2125,take,0.0009266409266409266
817,front,0.0009266409266409266
1093,incredible,0.0009266409266409266
1281,lionking,0.0009266409266409266
344,came,0.0009266409266409266
786,follow,0.0009266409266409266
534,degro,0.0009266409266409266
159,awesome,0.0009266409266409266
705,eye,0.0009266409266409266
839,gamereserve,0.0009266409266409266
1915,secretary,0.0009266409266409266
703,exploring,0.0009266409266409266
975,hello,0.0009266409266409266
1937,sexy,0.0007722007722007722
2381,watching,0.0007722007722007722
1353,mama,0.0007722007722007722
1298,lol,0.0007722007722007722
652,ellies,0.0007722007722007722
2018,southafricaza,0.0007722007722007722
2268,tusk,0.0007722007722007722
898,gorahelephantcamp,0.0007722007722007722
1709,playing,0.0007722007722007722
808,frica,0.0007722007722007722
1697,picture,0.0007722007722007722
607,eastern,0.0007722007722007722
2278,un,0.0007722007722007722
355,canon,0.0007722007722007722
349,camping,0.0007722007722007722
732,favourite,0.0007722007722007722
625,elefant,0.0007722007722007722
2350,vscosouthafrica,0.0007722007722007722
2158,thank,0.0007722007722007722
1404,middle,0.0007722007722007722
2227,traffic,0.0007722007722007722
291,bra,0.0007722007722007722
492,cub,0.0007722007722007722
1632,pa,0.0007722007722007722
555,die,0.0007722007722007722
1237,le,0.0007722007722007722
316,bull,0.0007722007722007722
44,africanelephant,0.0007722007722007722
32,adventure,0.0007722007722007722
2430,wildanimals,0.0007722007722007722
39,africadosul,0.0007722007722007722
1020,horse,0.0007722007722007722
164,b,0.0007722007722007722
161,awesomesouthafrica,0.0007722007722007722
1022,horseriding,0.0007722007722007722
938,hakunamatata,0.0007722007722007722
23,addopark,0.0007722007722007722
1041,huge,0.0007722007722007722
1133,iphoneonly,0.0007722007722007722
1822,right,0.0007722007722007722
2432,wilderness,0.0006177606177606178
2277,uma,0.0006177606177606178
1219,la,0.0006177606177606178
1490,nathansearth,0.0006177606177606178
1589,olifantpark,0.0006177606177606178
132,arrived,0.0006177606177606178
984,het,0.0006177606177606178
1365,marqueesydney,0.0006177606177606178
2034,spotted,0.0006177606177606178
2036,spotting,0.0006177606177606178
