,word,frequency
5408,river-storm,0.006385002037766607
4772,nature-valley,0.005841597609020513
4622,mouth-river,0.0044830865371552776
5834,stormsriver-tsitsikamma,0.0025811710365439477
6088,tsitsikamma-tsitsikammanationalpark,0.002173617714984377
5873,sudafrica-tsitsikamma,0.0020377666077978536
3502,hiking-tsitsikamma,0.0016302132862382828
1191,bridge-suspension,0.0016302132862382828
698,beach-tsitsikamma,0.0016302132862382828
5059,otter-trail,0.0013585110718652357
4767,nature-tsitsikamma,0.0013585110718652357
5843,stormsrivermouth-tsitsikamma,0.0013585110718652357
1202,bridge-tsitsikamma,0.0012226599646787122
3736,indian-ocean,0.0012226599646787122
4953,ocean-stormsriver,0.0012226599646787122
6043,travel-tsitsikamma,0.0012226599646787122
706,beach-walk,0.0010868088574921885
548,baewatchweekend-dirtyfive,0.000950957750305665
5908,suspensionbridge-tsitsikamma,0.000950957750305665
306,amazing-view,0.0008151066431191414
5819,stormsriver-stormsrivermouth,0.0008151066431191414
2315,early-morning,0.0008151066431191414
4635,mouth-tsitsikamma,0.0008151066431191414
278,amazing-day,0.0008151066431191414
5909,suspensionbridge-tsitsikammanationalpark,0.0008151066431191414
6102,tsitsikamma-waterfall,0.0008151066431191414
2860,forest-knysna,0.0008151066431191414
6028,trail-tsitsikamma,0.0008151066431191414
6094,tsitsikamma-view,0.0008151066431191414
4965,ocean-tsitsikamma,0.0006792555359326179
4724,nature-ocean,0.0006792555359326179
2013,day-view,0.0006792555359326179
4256,livefromsouthafrica-lovesouthafrica,0.0006792555359326179
4058,lagoon-naturesvalley,0.0006792555359326179
6032,trail-waterfall,0.0006792555359326179
1175,bridge-ocean,0.0006792555359326179
5808,storm-tsitsikamma,0.0006792555359326179
5985,time-tsitsikamma,0.0006792555359326179
3351,harkerville-hike,0.0006792555359326179
3676,igersgardenroute-igerssouthafrica,0.0006792555359326179
703,beach-valley,0.0006792555359326179
4627,mouth-storm,0.0006792555359326179
4590,morning-view,0.0006792555359326179
4629,mouth-stormsriver,0.0006792555359326179
3134,going-miss,0.0005434044287460942
5415,river-tsitsikamma,0.0005434044287460942
3794,instaplace-pictureoftheday,0.0005434044287460942
5599,sedgefield-strand,0.0005434044287460942
