,word,frequency
8857,safari,0.03118136097711177
2964,elephant,0.016278353689828596
11514,wildlife,0.012049676690957611
7026,nature,0.01028430668172021
425,animal,0.008252078415272503
2423,day,0.007964692599815252
3910,giraffe,0.007451503643641589
10607,travel,0.005829826542132813
11809,zebra,0.0056040234014164015
5806,leopard,0.005542440726675562
1045,big,0.0055219131684286155
5953,lion,0.004885558862773273
6771,morning,0.0046802832803038074
9977,sunrise,0.004290259673611824
8589,rhino,0.004146566765883198
11474,wild,0.004126039207636252
9353,singita,0.004105511649389305
9410,skukuza,0.003982346299907626
1484,bush,0.003920763625166786
8653,river,0.003551267576721749
352,amazing,0.00336651955249923
10426,time,0.0033049368777583908
1093,bird,0.0033049368777583908
2437,de,0.003284409319511444
4444,hippo,0.0032228266447706043
2769,drive,0.0031407164117828183
6097,love,0.003120188853535872
3746,game,0.0029970235040541926
4798,impala,0.0029970235040541926
1439,buffalo,0.0029354408293133533
3292,family,0.0028328030380786206
11107,view,0.002689110130349995
1052,bigfive,0.002668582572103048
10474,today,0.002648055013856102
2836,e,0.002648055013856102
8678,road,0.002648055013856102
4648,hyena,0.0024838345478805294
6942,n,0.00242225187313969
7179,night,0.0022169762906702247
5878,life,0.0021759211741763317
2269,crossing,0.002155393615929385
9126,selfie,0.0021348660576824387
5905,like,0.002114338499435492
9087,see,0.0020938109411885457
11273,wanderlust,0.002032228266447706
1831,cheetah,0.001991173149953813
3464,first,0.001991173149953813
747,back,0.001991173149953813
3747,gamedrive,0.0018474802422251873
1592,camp,0.0018474802422251873
5623,l,0.0017653700092374013
8353,r,0.0017653700092374013
693,awesome,0.0017448424509904548
969,best,0.0017448424509904548
6726,monkey,0.0017448424509904548
11524,wildlifephotography,0.0017037873344965615
7895,photo,0.001683259776249615
6031,lodge,0.001683259776249615
1964,close,0.001683259776249615
6828,mpumalanga,0.0016627322180026685
5986,little,0.001601149543261829
7633,p,0.001601149543261829
6993,natgeo,0.001560094426767936
4194,guy,0.0015395668685209895
7190,nikon,0.0015395668685209895
5679,last,0.0015395668685209895
9005,saw,0.0015190393102740428
2841,early,0.0014779841937801498
7995,place,0.0014574566355332033
9651,southafricaza,0.0014574566355332033
9983,sunset,0.0014369290772862568
11549,wildtuin,0.0014164015190393103
4495,holiday,0.0014164015190393103
3658,frica,0.0013958739607923638
3866,get,0.0013958739607923638
2250,crocodile,0.0013958739607923638
1613,canon,0.0013958739607923638
4369,hello,0.0013753464025454173
8621,right,0.0013753464025454173
4104,great,0.0013753464025454173
11324,way,0.0013548188442984708
10685,trip,0.001334291286051524
8962,satara,0.001334291286051524
5738,lebombo,0.0013137637278045776
478,another,0.0013137637278045776
9718,spotted,0.001293236169557631
875,beautiful,0.001293236169557631
8941,sanparks,0.001293236169557631
10624,traveler,0.001293236169557631
99,adventure,0.0012727086113106846
145,africanamazing,0.0012727086113106846
6220,lunch,0.001252181053063738
8323,que,0.001252181053063738
10673,tree,0.0012316534948167916
9310,sighting,0.0012316534948167916
8685,roadtrip,0.0012316534948167916
5834,letaba,0.0012316534948167916
10794,two,0.001211125936569845
5591,kudu,0.001211125936569845
5657,landscape,0.0011905983783228986
11304,water,0.0011495432618290054
5573,krugerthroughmyeyes,0.0011495432618290054
3666,friend,0.0011495432618290054
6062,look,0.0011495432618290054
9926,sudafrica,0.0011290157035820589
1374,bridge,0.0011084881453351124
4509,home,0.0010879605870881659
3476,five,0.0010879605870881659
