,word,frequency
3091,beach-boulder,0.004526496168644314
4800,bouldersbeach-penguin,0.004106178667270199
3221,beach-penguin,0.0032655436645219697
18874,mountain-table,0.003233211549031653
14178,head-lion,0.0028775582786381712
4627,boulder-penguin,0.0028128940476575383
2100,atlantic-ocean,0.002748229816676905
6997,chapman-peak,0.0025865692392253226
15402,indian-ocean,0.0024572407772640564
18303,meet-ocean,0.0021662517378512078
5947,capepoint-ilovecapetown,0.0018105984674577258
5412,cabo-da,0.0017136021209867762
4408,boa-esperan,0.0016812700054964597
4405,boa-da,0.001648937890006143
19816,ocean-two,0.0016166057745158266
2084,atlantic-indian,0.0016166057745158266
10834,end-world,0.0015842736590255101
22367,southern-tip,0.0010022955801998125
6101,capepoint-ocean,0.0009376313492191794
2095,atlantic-meet,0.0009052992337288629
20516,penguin-simonstown,0.0009052992337288629
6314,capepoint-travel,0.0008729671182385463
4831,bouldersbeach-simonstown,0.0008083028872579133
5869,capepoint-family,0.0007436386562772803
11669,family-ilovecapetown,0.0007113065407869637
22620,suidafrika-travel,0.0006789744252966471
504,afrika-afrique,0.0006789744252966471
605,afriquedusud-sydafrika,0.0006789744252966471
610,afriquedusud-zuidafrika,0.0006789744252966471
15401,indian-meet,0.0006789744252966471
8864,dafrika-sydafrika,0.0006789744252966471
3027,bay-hout,0.0006789744252966471
21442,resor-voyage,0.0006789744252966471
16221,kaap-travel,0.0006789744252966471
555,afrika-voyage,0.0006789744252966471
21403,reisen-zuidafrika,0.0006789744252966471
21401,reisen-resor,0.0006789744252966471
8863,dafrika-suidafrika,0.0006789744252966471
3121,beach-day,0.0006466423098063307
10527,edge-world,0.0006466423098063307
17269,lionshead-tablemountain,0.0006466423098063307
6081,capepoint-nature,0.0006143101943160141
6343,capepoint-view,0.0006143101943160141
594,afrique-rafrika,0.0005819780788256975
1175,amazing-view,0.0005819780788256975
3093,beach-bouldersbeach,0.0005819780788256975
2573,baboon-capepoint,0.0005496459633353811
7044,chapmanspeak-houtbay,0.0005496459633353811
20508,penguin-selfie,0.0005173138478450645
10179,drive-peak,0.00048498173235474797
3098,beach-capepoint,0.00048498173235474797
8031,colony-penguin,0.00048498173235474797
17359,little-penguin,0.00048498173235474797
2165,atlanticocean-indianocean,0.00048498173235474797
2154,atlanticocean-capepoint,0.00048498173235474797
6325,capepoint-twooceans,0.00048498173235474797
12704,friend-penguin,0.00045264961686443145
9093,day-last,0.00045264961686443145
8308,continent-western,0.00045264961686443145
17540,long-way,0.00045264961686443145
2046,atl-ntico,0.00045264961686443145
5748,capepeninsula-capepoint,0.00045264961686443145
19821,ocean-view,0.00045264961686443145
4684,boulderbeach-penguin,0.00042031750137411494
8300,continent-tip,0.00042031750137411494
20590,penguin-travel,0.00042031750137411494
21537,road-trip,0.00042031750137411494
2371,away-far,0.00042031750137411494
14470,hike-lionshead,0.00038798538588379836
6387,capepoint-world,0.00038798538588379836
