,word,frequency
568,baby-elephant,0.005892255892255892
2124,elephant-safari,0.004545454545454545
342,animal-elephant,0.0026936026936026937
3875,nature-perfection,0.0023569023569023568
3903,nature-wildlife,0.0021885521885521885
3885,nature-shooter,0.00202020202020202
2160,elephant-sunset,0.001851851851851852
4300,safari-zebra,0.001851851851851852
2081,elephant-nature,0.0016835016835016834
397,animal-wildlife,0.0016835016835016834
2065,elephant-love,0.0016835016835016834
745,beautiful-nature,0.0015151515151515152
1695,day-elephant,0.0015151515151515152
3063,holiday-nature,0.0015151515151515152
3879,nature-reserve,0.0015151515151515152
3070,holiday-safari,0.0013468013468013469
3870,nature-natureza,0.0013468013468013469
708,beautiful-elephant,0.0013468013468013469
3869,nature-naturelovers,0.0013468013468013469
604,baby-zebra,0.0013468013468013469
2823,good-morning,0.0013468013468013469
704,beautiful-day,0.0013468013468013469
2200,elephant-wildlife,0.0013468013468013469
375,animal-nature,0.0013468013468013469
3210,instafame-instagod,0.0013468013468013469
3079,holiday-trip,0.0013468013468013469
1595,crossing-zebra,0.0011784511784511784
865,big-elephant,0.0011784511784511784
329,animal-beautiful,0.0011784511784511784
2108,elephant-portelizabeth,0.0011784511784511784
4602,wildlife-zebra,0.0011784511784511784
1998,elephant-family,0.0011784511784511784
2708,gamedrive-safari,0.00101010101010101
3881,nature-safari,0.00101010101010101
3158,ilovecapetown-nature,0.00101010101010101
3872,nature-outdoor,0.00101010101010101
339,animal-cute,0.00101010101010101
380,animal-safari,0.00101010101010101
3644,love-zebra,0.00101010101010101
729,beautiful-holiday,0.00101010101010101
3914,naturelover-natureza,0.00101010101010101
3884,nature-seeker,0.00101010101010101
3913,naturelover-naturelovers,0.00101010101010101
561,baby-bluesky,0.00101010101010101
1853,drive-game,0.00101010101010101
1443,cloud-sky,0.00101010101010101
404,animales-cute,0.00101010101010101
748,beautiful-pentax,0.00101010101010101
1622,cute-little,0.00101010101010101
331,animal-big,0.00101010101010101
2597,fotography-pentaxk,0.00101010101010101
1669,dafrika-trip,0.00101010101010101
2596,fotography-ilovecapetown,0.00101010101010101
4061,pentax-pentaxk,0.00101010101010101
804,beauty-nature,0.0008417508417508417
755,beautiful-safari,0.0008417508417508417
2172,elephant-today,0.0008417508417508417
3908,nature-zebra,0.0008417508417508417
4240,roadtrip-rundreise,0.0008417508417508417
3601,love-nature,0.0008417508417508417
563,baby-cute,0.0008417508417508417
3886,nature-sky,0.0008417508417508417
1208,calf-elephant,0.0008417508417508417
3311,jungle-king,0.0008417508417508417
4122,portelizabeth-reserve,0.0008417508417508417
668,bath-elephant,0.0008417508417508417
1726,day-perfect,0.0008417508417508417
4128,portelizabeth-travel,0.0008417508417508417
2012,elephant-game,0.0008417508417508417
90,adventure-day,0.0008417508417508417
3055,hole-watering,0.0008417508417508417
3918,natureonly-natureporn,0.0006734006734006734
576,baby-little,0.0006734006734006734
4524,travel-traveling,0.0006734006734006734
2421,family-love,0.0006734006734006734
360,animal-jungle,0.0006734006734006734
352,animal-happy,0.0006734006734006734
3419,last-night,0.0006734006734006734
766,beautiful-sunset,0.0006734006734006734
94,adventure-elephant,0.0006734006734006734
3919,natureonly-seeker,0.0006734006734006734
3245,instatravel-travel,0.0006734006734006734
566,baby-elefant,0.0006734006734006734
2032,elephant-holiday,0.0006734006734006734
3920,natureporn-naturestyles,0.0006734006734006734
1968,elefant-outdoor,0.0006734006734006734
2010,elephant-fun,0.0006734006734006734
116,adventure-nature,0.0006734006734006734
4468,sunset-zebra,0.0006734006734006734
399,animal-zebra,0.0006734006734006734
3506,lion-safari,0.0006734006734006734
1666,dafrika-thisisafrica,0.0006734006734006734
703,beautiful-creature,0.0006734006734006734
2766,gf-naturestyles,0.0006734006734006734
