,word,frequency
4415,garden-route,0.004123711340206186
7970,river-storm,0.0030515463917525775
7529,ottertrail-tsitsikamma,0.0026391752577319587
7196,naturereserve-tsitsikamma,0.002556701030927835
5262,hiking-ottertrail,0.0023917525773195876
7195,naturereserve-southerncape,0.0023917525773195876
1608,bliss-day,0.002309278350515464
6983,mouth-river,0.002309278350515464
8596,surf-water,0.0022268041237113404
4143,forest-surf,0.0022268041237113404
8385,southerncape-stormsriver,0.0022268041237113404
8478,stormsriver-water,0.0021443298969072164
2940,day-seascape,0.002061855670103093
4134,forest-seascape,0.0019793814432989693
7161,nature-valley,0.0019793814432989693
8844,tsitsikamma-tsitsikammanationalpark,0.0016494845360824743
8461,stormsriver-stormsrivermouth,0.0015670103092783505
6117,knysna-sedgefield,0.0014845360824742267
1157,beautiful-nature,0.0014845360824742267
7512,otter-trail,0.0014845360824742267
8472,stormsriver-tsitsikamma,0.0014020618556701032
7397,ocean-sea,0.0013195876288659794
1174,beautiful-place,0.001154639175257732
4673,good-morning,0.0010721649484536082
1079,beautiful-day,0.0010721649484536082
7157,nature-tsitsikamma,0.0010721649484536082
8490,stormsrivermouth-tsitsikamma,0.0009896907216494846
4152,forest-tsitsikamma,0.0009896907216494846
1297,beauty-nature,0.0009896907216494846
1231,beautiful-tsitsikamma,0.0009896907216494846
8582,sunset-tsitsikamma,0.0009896907216494846
915,beach-beautiful,0.0009072164948453608
3977,fitfam-fitspo,0.0009072164948453608
960,beach-naturesvalley,0.0009072164948453608
1899,bridge-suspension,0.0008247422680412372
7016,muscle-power,0.0008247422680412372
5786,instagramhub-workout,0.0008247422680412372
3996,fitnessaddict-power,0.0008247422680412372
3995,fitnessaddict-fitspiration,0.0008247422680412372
7083,natural-workout,0.0008247422680412372
1728,bodybuilder-instafit,0.0008247422680412372
1727,bodybuilder-bodybuilding,0.0008247422680412372
4002,fitspo-strong,0.0008247422680412372
1729,bodybuilding-fitfam,0.0008247422680412372
7428,ocean-tsitsikamma,0.0008247422680412372
1036,beastmode-hardwork,0.0008247422680412372
1037,beastmode-instafit,0.0008247422680412372
6335,lifeofadventure-liveauthentic,0.0008247422680412372
7081,natural-strong,0.0008247422680412372
3985,fitness-instagramhub,0.0008247422680412372
3016,dedication-muscle,0.0008247422680412372
3015,dedication-hardwork,0.0008247422680412372
962,beach-ocean,0.0008247422680412372
40,active-fitspiration,0.0008247422680412372
2901,day-km,0.0008247422680412372
7102,nature-ocean,0.0007422680412371134
5564,igersgardenroute-igerssouthafrica,0.0007422680412371134
7435,ocean-wave,0.0007422680412371134
3981,fitlife-ripped,0.0007422680412371134
6546,love-place,0.0007422680412371134
6346,lift-ripped,0.0007422680412371134
39,active-fitlife,0.0007422680412371134
2893,day-hiking,0.0007422680412371134
6780,master-rising,0.0007422680412371134
4905,gymrat-lift,0.0007422680412371134
7125,nature-reserve,0.0006597938144329897
5649,indian-ocean,0.0006597938144329897
5405,holiday-trip,0.0006597938144329897
8761,travel-tsitsikamma,0.0006597938144329897
2963,day-tsitsikamma,0.0006597938144329897
4906,gymrat-mcm,0.0006597938144329897
4323,fun-holiday,0.0006597938144329897
8485,stormsrivermouth-suspensionbridge,0.0006597938144329897
2457,coast-tsitsikamma,0.0006597938144329897
8000,road-trip,0.0006597938144329897
172,adventure-tsitsikamma,0.000577319587628866
4349,fun-sedgefield,0.000577319587628866
2903,day-last,0.000577319587628866
5372,holiday-roadtrip,0.000577319587628866
6948,mountain-nature,0.000577319587628866
8197,sedgefield-sunset,0.000577319587628866
5671,indianocean-ocean,0.000577319587628866
455,amazing-beautiful,0.000577319587628866
5295,hiking-trail,0.000577319587628866
5391,holiday-summer,0.000577319587628866
4886,guy-little,0.000577319587628866
8831,trip-tsitsikamma,0.000577319587628866
1162,beautiful-ocean,0.000577319587628866
1688,blue-sky,0.000577319587628866
7113,nature-perfection,0.0004948453608247423
8813,tree-tsitsikamma,0.0004948453608247423
3694,family-fun,0.0004948453608247423
8464,stormsriver-sunset,0.0004948453608247423
8861,tsitsikamma-winter,0.0004948453608247423
6946,mothernature-naturalbeauty,0.0004948453608247423
2872,day-epic,0.0004948453608247423
3307,eastcoast-tsitsikamma,0.0004948453608247423
8760,travel-trip,0.0004948453608247423
7087,naturalbeauty-vacation,0.0004948453608247423
8109,sand-sea,0.0004948453608247423
5257,hiking-nature,0.0004948453608247423
7133,nature-sea,0.0004948453608247423
1276,beauty-eastcoast,0.0004948453608247423
8352,something-special,0.0004948453608247423
8019,roadtrip-vacation,0.0004948453608247423
8611,suspensionbridge-winter,0.0004948453608247423
1902,bridge-tsitsikamma,0.0004948453608247423
959,beach-nature,0.0004948453608247423
1117,beautiful-holiday,0.0004948453608247423
1294,beauty-mothernature,0.0004948453608247423
365,along-garden,0.0004948453608247423
7141,nature-stormsriver,0.0004123711340206186
5681,indianocean-tsitsikamma,0.0004123711340206186
1160,beautiful-naturesvalley,0.0004123711340206186
1474,big-tree,0.0004123711340206186
1194,beautiful-sea,0.0004123711340206186
7271,new-start,0.0004123711340206186
8674,theyearofgogogoing-vacation,0.0004123711340206186
8540,sun-sunset,0.0004123711340206186
6583,love-tsitsikamma,0.0004123711340206186
1218,beautiful-sunset,0.0004123711340206186
7095,nature-naturelovers,0.0004123711340206186
7721,place-tsitsikamma,0.0004123711340206186
8848,tsitsikamma-view,0.0004123711340206186
4110,forest-hiking,0.0004123711340206186
1520,birthday-happy,0.0004123711340206186
