,word,frequency
31950,nature-wildlife,0.00211600484633368
31782,nature-perfection,0.0015870036347502602
35689,safari-wildlife,0.0015870036347502602
21458,good-morning,0.0015016808586884184
33482,perfection-wildlife,0.0015016808586884184
31746,nature-naturelovers,0.001450487193051313
35553,safari-sunset,0.0013822289722018395
36117,seeker-wildlife,0.0012798416409276292
15295,drive-game,0.0012115834200781557
2599,animal-ic,0.001143325199228682
31878,nature-sultan,0.0010750669783792086
5528,beautiful-nature,0.0010409378679544718
4342,baby-elephant,0.0010238733127421033
28285,lion-safari,0.0010238733127421033
38521,wildlife-wildlifephotography,0.0009726796471049982
26141,king-lion,0.0009556150918926298
2778,animal-splendid,0.0009556150918926298
35004,rhino-white,0.0009385505366802614
2685,animal-nature,0.0009385505366802614
35613,safari-travel,0.0009044214262555247
5679,beautiful-sunset,0.0008873568710431563
2847,animal-wildlife,0.0008702923158307879
13916,day-holiday,0.0008532277606184195
31825,nature-safari,0.0008532277606184195
2749,animal-safari,0.0007337758741318408
15372,drive-sunset,0.0007167113189194724
31843,nature-shooter,0.000699646763707104
618,adventure-travel,0.000699646763707104
31745,nature-naturelover,0.000699646763707104
16385,elephant-safari,0.0006825822084947356
27266,lebombo-singita,0.0006825822084947356
24293,ic-nature,0.0006655176532823672
32284,ngala-safari,0.0006313885428576305
10092,camp-rest,0.0006313885428576305
582,adventure-safari,0.0006313885428576305
28152,lion-male,0.0006143239876452621
6863,big-five,0.0006143239876452621
2654,animal-love,0.0005801948772205253
4947,baobab-tree,0.0005801948772205253
2446,animal-beautiful,0.0005631303220081568
25826,jungle-king,0.0005631303220081568
14064,day-safari,0.0005631303220081568
28243,lion-pride,0.0005460657667957884
5941,beauty-nature,0.0005460657667957884
36151,seetheworld-travel,0.00052900121158342
38535,wildlife-wu,0.00052900121158342
34014,pope-worldtour,0.00052900121158342
639,adventure-wildlife,0.0005119366563710516
29165,love-nature,0.0005119366563710516
32294,ngala-worldtour,0.0005119366563710516
26982,last-night,0.0004948721011586833
38483,wild-wildlife,0.0004948721011586833
1918,amazing-animal,0.0004778075459463149
27914,like-love,0.0004778075459463149
852,africanamazing-africansafari,0.0004778075459463149
2151,amazing-sunset,0.0004778075459463149
2673,animal-md,0.0004778075459463149
20966,giraffe-safari,0.00046074299073394653
26464,krugerenthusiasts-krugerthroughmyeyes,0.00046074299073394653
1923,amazing-awesome,0.00046074299073394653
2788,animal-sultan,0.00046074299073394653
37961,travel-traveling,0.00046074299073394653
13249,cub-lion,0.00046074299073394653
20281,game-reserve,0.00044367843552157814
16274,elephant-love,0.00044367843552157814
19206,follow-followme,0.00044367843552157814
27730,life-love,0.00044367843552157814
38003,travel-wildlife,0.00044367843552157814
37743,thisisamazing-travel,0.00044367843552157814
2535,animal-exclusive,0.00042661388030920975
25583,jam-traffic,0.00042661388030920975
