,word,frequency
1090,capepoint,0.019439060540417285
2795,good,0.01596169193934557
582,beautiful,0.013310910956561395
4938,ocean,0.012769353551476457
4114,love,0.012199293125071257
3984,lighthouse,0.01068863299509748
5192,penguin,0.010460608824535401
7128,travel,0.010318093717934101
4711,nature,0.010090069547372021
7426,view,0.009833542355489682
549,beach,0.009805039334169423
6652,sunset,0.008636415460038764
1684,day,0.008408391289476685
5961,sea,0.008237373161555124
4555,mountain,0.007439288564587847
251,amazing,0.0060996465625356286
7044,top,0.0056435982214114696
2964,happy,0.005130543837646791
3077,hike,0.005016531752365751
3129,holiday,0.004931022688404971
4017,lionshead,0.004902519667084711
6623,sun,0.004874016645764451
6753,tablemountain,0.0047315015391631516
84,adventure,0.0045889864325618515
6230,sky,0.004389465283320032
600,beauty,0.004246950176718732
7788,world,0.004161441112757952
2610,fun,0.0039904229848363925
6609,summer,0.0039049139208756126
3993,like,0.0036483867289932733
3957,life,0.0036198837076730135
2582,friend,0.0036198837076730135
5323,place,0.0035058716223919737
865,bouldersbeach,0.003391859537110934
1378,cloud,0.003306350473150154
415,atlantic,0.003249344430509634
7017,today,0.003163835366548854
1324,cityofcapetown,0.0029643142173070344
6996,time,0.002793296089385475
862,boulder,0.002736290046744955
3082,hiking,0.002679284004104435
1609,cute,0.002679284004104435
4013,lion,0.002650780982784175
6002,see,0.0025652719188233955
1234,chapmanspeak,0.0024512598335423557
7201,trip,0.0024512598335423557
4121,lovecapetown,0.0024227568122220954
2203,explore,0.0024227568122220954
6748,table,0.0023657507695815758
3015,head,0.0023372477482613155
7597,way,0.0023087447269410557
3845,landscape,0.002280241705620796
7348,vacation,0.002251738684300536
4032,little,0.002194732641660016
785,blue,0.002166229620339756
7556,wanderlust,0.0021377265990194963
655,best,0.002109223577699236
4524,morning,0.002080720556378976
1318,city,0.002080720556378976
3371,indian,0.002080720556378976
5763,rock,0.0019667084710979364
4343,meet,0.0019667084710979364
3138,home,0.0019382054497776764
7008,tip,0.0018526963858168967
5173,peak,0.0018526963858168967
4773,new,0.0018241933644966366
2271,family,0.0018241933644966366
5221,perfect,0.0017671873218561168
4133,lovely,0.0017671873218561168
5256,photo,0.0017386843005358567
465,awesome,0.0017386843005358567
736,birthday,0.001710181279215597
1232,chapman,0.001710181279215597
1938,drive,0.001710181279215597
7147,traveling,0.001653175236575077
6630,sunday,0.001653175236575077
3499,instatravel,0.001624672215254817
7257,two,0.001624672215254817
6021,selfie,0.0015961691939345571
7588,water,0.0015961691939345571
5436,pretty,0.0015961691939345571
7146,travelgram,0.001567666172614297
7857,year,0.0015391631512940373
7596,wave,0.0015391631512940373
7079,tourist,0.0015391631512940373
1355,cliff,0.0015391631512940373
4206,made,0.0015106601299737772
3859,last,0.0015106601299737772
6259,smile,0.0015106601299737772
540,bay,0.0014821571086535172
488,back,0.0014821571086535172
2857,great,0.0014536540873332573
254,amazingcapetown,0.0014536540873332573
6659,sunshine,0.0014251510660129973
2694,get,0.0014251510660129973
2546,found,0.0014251510660129973
315,another,0.0014251510660129973
2960,happiness,0.0014251510660129973
6179,simonstown,0.0014251510660129973
3430,instadaily,0.0013681450233724774
2060,end,0.0013681450233724774
765,blessed,0.0013681450233724774
1393,coast,0.0013396420020522176
4581,much,0.0013396420020522176
421,atlanticocean,0.0013396420020522176
4362,memory,0.0013111389807319576
5051,ostrich,0.0012541329380914377
3188,houtbay,0.0012541329380914377
2390,finally,0.0012541329380914377
2721,girl,0.0012541329380914377
1489,cool,0.0012541329380914377
6939,thing,0.0012541329380914377
7621,weekend,0.0012256299167711779
4097,look,0.0012256299167711779
2913,guy,0.0012256299167711779
1475,continent,0.0012256299167711779
2507,foot,0.0012256299167711779
6778,take,0.0011971268954509178
4230,make,0.0011971268954509178
3982,light,0.0011971268954509178
2761,god,0.0011686238741306578
2479,follow,0.0011686238741306578
1116,capetownmag,0.0011686238741306578
2154,ever,0.0011686238741306578
7766,wonderful,0.001140120852810398
3541,iphoneonly,0.0011116178314901379
3671,joy,0.0011116178314901379
6582,stunning,0.0011116178314901379
6379,southern,0.0011116178314901379
3148,honeymoon,0.0011116178314901379
5753,roadtrip,0.001083114810169878
2149,even,0.001083114810169878
2457,flower,0.001083114810169878
482,baboon,0.001083114810169878
1969,e,0.001054611788849618
2560,freedom,0.001054611788849618
7538,walk,0.001054611788849618
7620,week,0.0010261087675293582
5215,people,0.0010261087675293582
5284,picture,0.0010261087675293582
4486,moment,0.0010261087675293582
1114,capetownliving,0.0009976057462090981
1976,earth,0.0009976057462090981
2410,first,0.0009976057462090981
4765,never,0.0009976057462090981
296,animal,0.0009976057462090981
5067,outdoors,0.0009691027248888382
5881,sand,0.0009691027248888382
2867,green,0.0009691027248888382
5264,photography,0.0009691027248888382
2824,gorgeous,0.0009691027248888382
7649,western,0.0009405997035685783
7606,weather,0.0009405997035685783
3799,know,0.0009405997035685783
237,always,0.0009405997035685783
7809,worth,0.0009405997035685783
486,baby,0.0009120966822483183
6650,sunrise,0.0009120966822483183
6454,spring,0.0009120966822483183
4791,next,0.0009120966822483183
7190,tree,0.0009120966822483183
7709,wind,0.0009120966822483183
4101,looking,0.0009120966822483183
5927,scenery,0.0008835936609280584
4798,nice,0.0008835936609280584
2333,feel,0.0008835936609280584
3375,indianocean,0.0008835936609280584
2607,full,0.0008835936609280584
2496,food,0.0008550906396077984
730,bird,0.0008265876182875385
903,breathtaking,0.0008265876182875385
6490,start,0.0008265876182875385
6412,special,0.0008265876182875385
7453,visit,0.0008265876182875385
3537,iphone,0.0008265876182875385
5731,right,0.0008265876182875385
1513,could,0.0008265876182875385
375,around,0.0007980845969672786
3823,l,0.0007980845969672786
6644,sunny,0.0007980845969672786
1038,campsbay,0.0007980845969672786
6206,sister,0.0007980845969672786
6862,thanks,0.0007980845969672786
6860,thank,0.0007980845969672786
6482,standing,0.0007980845969672786
5747,road,0.0007980845969672786
2155,every,0.0007695815756470186
4817,night,0.0007695815756470186
5168,peace,0.0007695815756470186
7867,yesterday,0.0007695815756470186
5609,really,0.0007695815756470186
5602,real,0.0007695815756470186
6374,southafricaza,0.0007695815756470186
2335,feeling,0.0007695815756470186
4979,old,0.0007695815756470186
3307,ilovecapetown,0.0007695815756470186
5808,rsa,0.0007695815756470186
1164,carefree,0.0007410785543267586
792,bluesky,0.0007410785543267586
708,big,0.0007410785543267586
4083,long,0.0007410785543267586
2234,f,0.0007410785543267586
3483,instapic,0.0007125755330064987
936,brother,0.0007125755330064987
4485,mom,0.0007125755330064987
2102,epic,0.0007125755330064987
1363,climb,0.0007125755330064987
2315,favorite,0.0007125755330064987
1157,car,0.0007125755330064987
7157,travelling,0.0007125755330064987
7725,windy,0.0006840725116862387
2001,edge,0.0006840725116862387
1538,cpt,0.0006840725116862387
2215,exploring,0.0006840725116862387
2289,far,0.0006840725116862387
1626,da,0.0006840725116862387
5685,reserve,0.0006840725116862387
1923,dream,0.0006840725116862387
2086,enjoying,0.0006840725116862387
2084,enjoy,0.0006555694903659788
2811,goodtimes,0.0006555694903659788
7736,winter,0.0006555694903659788
2819,gopro,0.0006555694903659788
3448,instagramcapetown,0.0006555694903659788
3669,journey,0.0006555694903659788
4492,monday,0.0006555694903659788
3363,incredible,0.0006555694903659788
1698,de,0.0006555694903659788
7261,twooceans,0.0006555694903659788
4319,may,0.0006555694903659788
3935,let,0.0006555694903659788
6447,spot,0.0006555694903659788
898,breakfast,0.0006555694903659788
6941,think,0.0006270664690457188
1381,cloudporn,0.0006270664690457188
1775,destination,0.0006270664690457188
7069,tour,0.0006270664690457188
2783,going,0.0006270664690457188
3714,kaapstad,0.0006270664690457188
6525,still,0.0006270664690457188
4670,n,0.0006270664690457188
6729,swim,0.0006270664690457188
7105,trail,0.0006270664690457188
2801,goodhope,0.0006270664690457188
3183,house,0.0006270664690457188
5209,peninsula,0.0006270664690457188
5157,path,0.0006270664690457188
6010,seen,0.0005985634477254589
7075,tourism,0.0005985634477254589
7691,wild,0.0005985634477254589
6970,throwback,0.0005985634477254589
6784,taking,0.0005985634477254589
693,better,0.000570060426405199
878,boy,0.000570060426405199
4262,many,0.000570060426405199
223,along,0.000570060426405199
4123,loved,0.000570060426405199
7249,tweetcapetown,0.000570060426405199
4480,model,0.000570060426405199
149,afternoon,0.000570060426405199
5134,part,0.000570060426405199
3041,hello,0.000541557405084939
5549,r,0.000541557405084939
5126,paradise,0.000541557405084939
384,art,0.000541557405084939
5915,say,0.000541557405084939
2558,free,0.000541557405084939
2199,experience,0.000541557405084939
5274,pic,0.000541557405084939
1521,couple,0.000541557405084939
2150,evening,0.000541557405084939
6417,spectacular,0.000541557405084939
7457,visiting,0.000541557405084939
7565,want,0.000541557405084939
6150,side,0.000541557405084939
3794,km,0.000541557405084939
7156,traveller,0.000541557405084939
3187,hout,0.000541557405084939
3290,igtravel,0.0005130543837646791
3182,hour,0.0005130543837646791
5224,perfection,0.0005130543837646791
677,bestoftheday,0.0005130543837646791
1428,come,0.0005130543837646791
7634,well,0.0005130543837646791
5972,seal,0.0005130543837646791
4035,live,0.0005130543837646791
4075,lol,0.0005130543837646791
3445,instago,0.0005130543837646791
3029,heaven,0.0005130543837646791
3727,kapstadt,0.0005130543837646791
4901,nothing,0.0005130543837646791
7023,together,0.0005130543837646791
4186,lunch,0.0005130543837646791
1005,cabo,0.0005130543837646791
6514,step,0.0005130543837646791
2464,flying,0.0005130543837646791
4541,mothercity,0.0005130543837646791
6683,surf,0.0005130543837646791
2490,followme,0.0005130543837646791
3169,hot,0.0005130543837646791
7776,word,0.0004845513624444191
6341,soul,0.0004845513624444191
4244,man,0.0004845513624444191
1095,capepointlighthouse,0.0004845513624444191
229,also,0.0004845513624444191
1798,dia,0.0004845513624444191
3688,june,0.0004845513624444191
7698,wildlife,0.0004845513624444191
7641,went,0.0004845513624444191
3475,instamood,0.0004845513624444191
3269,igerscapetown,0.0004845513624444191
4606,must,0.0004845513624444191
7816,wow,0.0004845513624444191
4190,luxury,0.0004845513624444191
3026,heart,0.0004845513624444191
6538,stop,0.0004845513624444191
5928,scenic,0.0004845513624444191
7251,twelveapostles,0.00045604834112415916
2653,garden,0.00045604834112415916
3912,left,0.00045604834112415916
6158,sightseeing,0.00045604834112415916
2586,friendship,0.00045604834112415916
752,blackandwhite,0.00045604834112415916
4536,mother,0.00045604834112415916
3842,land,0.00045604834112415916
462,away,0.00045604834112415916
218,almost,0.00045604834112415916
6719,sweet,0.00045604834112415916
2299,fashion,0.00045604834112415916
6128,shot,0.00045604834112415916
4175,lucky,0.00045604834112415916
953,bucketlist,0.00045604834112415916
614,beer,0.00045604834112415916
3941,level,0.00045604834112415916
7042,took,0.00045604834112415916
7754,without,0.00045604834112415916
1288,chilling,0.00045604834112415916
1384,cloudy,0.00045604834112415916
7813,would,0.0004275453198038992
1415,color,0.0004275453198038992
7613,wedding,0.0004275453198038992
7673,white,0.0004275453198038992
2850,grateful,0.0004275453198038992
7163,travelnoire,0.0004275453198038992
7586,watching,0.0004275453198038992
2427,fitness,0.0004275453198038992
4212,magical,0.0004275453198038992
5170,peaceful,0.0004275453198038992
4450,mission,0.0004275453198038992
2240,face,0.0004275453198038992
1517,country,0.0004275453198038992
